BT: CBT: ILS:
214417 46625 283635
28250 45000 294175
70000 73625 1011586
74833 66041 360443
34250 51417 1962860
18917 43041 278274
167291 94417 915388
147291 88000 912100
407250 83917 1356860
64166 71625 392592
442959 105791 2412777
247708 149750 2437667
68375 46125 1023622
151625 79833 1342741
1400625 376625 10047790
69167 65792 915194
196459 125458 841780
105500 79875 1164778
981333 236750 4424959
178167 120500 1410569
877500 200792 12361424
17667 40833 64210
86625 60375 593924
17042 40167 723105
67750 49291 527351
155125 66625 1116266
23500 44000 3703445
93125 68542 657718
525542 171875 6242246
275833 75583 792783
97834 78375 1209261
1249625 261084 2946780
32833 42750 843182
254750 146458 4950764
115708 69500 2645898
20083 39166 95441
825541 146958 1813440
34667 48500 257535
288041 136083 6668841
49959 62583 1324745
242833 50791 841380
33291 43208 1122615
31083 43125 931814
29041 41625 332506
249416 124209 7049762
181292 105458 2776113
28167 45625 544371
294542 61041 2306400
25334 42750 492639
21958 40500 673790
49750 55917 1313841
337083 108333 3421684
47417 53708 945100
124333 84583 2377380
13416 40167 76209
28125 43083 130473
47417 44958 370069
656125 104833 3788242
289834 74916 7633211
25375 42292 1060704
37083 49250 761067
95250 86667 2269699
790750 311583 5665764
378250 149500 3431282
17709 39750 118034
152542 108167 2434489
17583 40583 246103
44125 42292 1346109
141875 77875 1564060
639959 305083 5256827
37875 43291 433579
39625 44375 157609
204417 86500 612388
31583 42166 693817
827542 271167 2778624
3129083 324667 1918009
54625 44042 415787
20958 40208 161315
235417 120708 1721625
32916 43625 779760
119458 77666 5158269
41083 47792 1430268
12334 41209 72958
531084 268167 8328337
20084 41417 451726
82416 72459 1153801
108916 56083 2166691
31792 40500 191556
37000 48667 2293225
160458 92708 7102408
19416 40167 153112
1986875 488458 18933893
55417 44708 561880
16459 40625 112333
852958 413583 9700371
32667 48250 201480
27375 44667 680554
20000 42333 149369
200125 109167 10190150
77833 65292 758755
